mediaSlug,mediaName,label,durationSec,dailyPlays,monthlyPriceKRW,price15DaysKRW,price10DaysKRW,price7DaysKRW,price5DaysKRW,price3DaysKRW,price1DayKRW,rawText,needsReview
sinsa-h-station,신사동 휴먼타워 H-스테이션 전광판,20초 100회,20,100,12000000,,,,,,,"1일 20초 100회 1,200만원/월 (1개월 미만 협의 필요)",False
sinsa-h-station,신사동 휴먼타워 H-스테이션 전광판,30초 100회,30,100,15000000,,,,,,,"1일 30초 100회 1,500만원/월 (1개월 미만 협의 필요)",False
sinsa-syh-tower,신사역 사거리 SYH타워,20초 100회,20,100,12000000,6000000,,3360000,,,500000,"1,200만원/월, 600만원/15일, 336만원/7일, 50만원/1일",False
sinsa-syh-tower,신사역 사거리 SYH타워,30초 100회,30,100,15000000,7500000,,4200000,,,600000,"1,500만원/월, 750만원/15일, 420만원/7일, 60만원/1일",False
sinsa-yk-tower,신사역 YK타워 유경빌딩,20초 100회,20,100,12000000,7500000,,3500000,,,,"1,200만원/월, 750만원/15일, 350만원/7일",False
sinsa-yk-tower,신사역 YK타워 유경빌딩,30초 100회,30,100,15000000,,,,,,,"1,500만원/월 (1개월 미만 협의 필요)",False
sinsa-peyto,신사동 PEYTO 페이토,20초 100회,20,100,12000000,7200000,,,,,,"1,200만원/월, 720만원/15일",False
sinsa-peyto,신사동 PEYTO 페이토,30초 100회,30,100,15000000,9000000,,,,,,"1,500만원/월, 900만원/15일",False
hakdong-ss-tower,학동사거리 S&S타워,15초 100회,15,100,10000000,,,,,,,"1일 15초 100회 1,000만원/월 (1개월 미만 협의 필요)",False
hakdong-ss-tower,학동사거리 S&S타워,20초 100회,20,100,12000000,,,,,,,"1일 20초 100회 1,200만원/월 (1개월 미만 협의 필요)",False
hakdong-ss-tower,학동사거리 S&S타워,30초 100회,30,100,15000000,,,,,,,"1일 30초 100회 1,500만원/월 (1개월 미만 협의 필요)",False
dosan-sgf-cheongdam,도산대로 SGF청담타워,15초 100회,15,100,10000000,,,,,,,"1,000만원/월",False
dosan-sgf-cheongdam,도산대로 SGF청담타워,20초 100회,20,100,12000000,6000000,,,,,,"1,200만원/월, 600만원/15일",False
dosan-sgf-cheongdam,도산대로 SGF청담타워,30초 100회,30,100,15000000,7500000,,,,,,"1,500만원/월, 750만원/15일",False
dosan-sb-tower,도산공원사거리 SB타워,20초 150회 또는 30초 100회,20,150,15000000,,,,,,,"1일 20초 150회 / 1일 30초 100회 1,500만원/월 (1개월 미만 협의 필요)",False
dosan-sun-and-vill,도산공원사거리 썬앤빌,20초 150회 또는 30초 100회,20,150,15000000,,,,,,,"1일 20초 150회 / 1일 30초 100회 1,500만원/월 (1개월 미만 협의 필요)",False
dosan-sun-vill-hak-pkg,도산 현대썬앤빌 & 학빌딩 PKG,패키지,20,150,20000000,,,,,,,"1일 20초 150회 / 1일 30초 100회 2,000만원/월, (1개월 미만 협의 필요)",False
dosan-emporia,도산공원사거리 엠포리아빌딩,20초 100회,20,100,12000000,6000000,4500000,3000000,,1300000,,"1,200만원/월. 600만원/15일, 450만원/10일, 300만원/7일, 130만원/3일",False
dosan-emporia,도산공원사거리 엠포리아빌딩,30초 100회,30,100,15000000,,,,,,,"1,500만원/월 (1개월 미만 협의 필요)",False
dosan-gangnam-building,도산대로 강남빌딩 전광판,20초 100회,20,100,12000000,,,,,,,"1,200만원/월 (1개월 미만 협의 필요)",False
dosan-gangnam-building,도산대로 강남빌딩 전광판,30초 100회,30,100,15000000,,,,,,,"1,500만원/월 (1개월 미만 협의 필요)",False
dosan-baekyoung-building,도산대로 백영빌딩 전광판,30초 100회,30,100,15000000,,,,,,,"1일 30초 100회 1,500만원/월 (1개월 미만 협의 필요)",False
dosan-hak-building,도산공원사거리 학빌딩,20초 150회 또는 30초 100회,20,150,12000000,7200000,,3360000,,4320000,,"1,200만원/월, 720만원/15일, 336만원/7일, 432만원/3일(3구좌)",True
dosan-bmw-building,도산공원 사거리 BMW 빌딩,20초 100회,20,100,8000000,4000000,,2500000,,1200000,450000,"800만원/월, 400만원/15일, 250만원/7일, 120만원/3일, 45만원/1일",False
dosan-hakil-building,도산대로 학동사거리 학일빌딩,20초 100회,20,100,6000000,3000000,,1500000,,900000,450000,"600만원/월, 300만원/15일, 150만원/7일, 90만원/3일, 45만원/1일",False
dosan-hakil-building,도산대로 학동사거리 학일빌딩,30초 100회,30,100,8000000,4000000,,2000000,,1200000,600000,"800만원/월, 400만원/15일, 200만원/7일, 120만원/3일, 60만원/1일",False
dosan-hansum-building,도산대로 한섬빌딩 전광판,20초 100회,20,100,12000000,7000000,,3500000,,,,"1,200만원/월. 700만원/15일, 350만원/7일",False
dosan-hansum-building,도산대로 한섬빌딩 전광판,30초 100회,30,100,15000000,8000000,,4000000,,,,"1,500만원/월. 800만원/15일, 400만원/7일",False
cheongdam-bluepearl-hotel,청담 블루펄호텔 전광판,20초 100회,20,100,12000000,6500000,,4000000,,2400000,800000,"1,200만원/월, 650만원/15일, 400만원/7일, 240만원/3일, 80만원/1일",False
cheongdam-bluepearl-hotel,청담 블루펄호텔 전광판,30초 100회,30,100,15000000,8000000,,4500000,,3000000,1000000,"1,500만원/월, 800만원/15일, 450만원/7일, 300만원/3일, 100만원/1일",False
dosan-timesync-1,도산대로 사거리 타임싱크 1,썬타워+학빌딩,30,140,75000000,,,,,,,"00분 30분 Time Sync(36회)+1일 30초 140회, 7,500만원/월",False
dosan-timesync-1,도산대로 사거리 타임싱크 1,엠포리아,30,200,45000000,,,,,,,"00분 30분 Time Sync(36회)+1일 30초 200회, 4,500만원/월",False
dosan-timesync-1,도산대로 사거리 타임싱크 1,3개 매체 패키지,30,,120000000,,,,,,,도산대로 썬타워 + 학빌딩 + 엠포리아 1.2억원 / 1.1억원,True
dosan-timesync-2,도산대로 사거리 타임싱크 2,SB타워,30,140,45000000,,,,,,,"Time Sync(36회)+1일 30초 140회 4,500만원/월",False
dosan-timesync-2,도산대로 사거리 타임싱크 2,백영빌딩,30,100,36000000,,,,,,,"Time Sync(36회)+1일 30초 100회 3,600만원/월",False
dosan-timesync-2,도산대로 사거리 타임싱크 2,2개 매체 패키지,30,,81000000,,,,,,,"도산대로 SB타워 + 도산대로 백영빌딩 8,100만원 / 7,000만원",True
samseong-kpop-square-package,삼성동 K-POP 스퀘어 패키지,패키지,,,,,,,,,,패키지 판매 상세 정보 확인. K-POP스퀘어 단독 진행시 단기 가능,False
samseong-coex-kpop-detail,삼성동 COEX K-pop 스퀘어 패키지 상세,1안 패키지,30,35,80000000,,,,,,,"8,000만원 (1/2구좌_30초 35회)",False
samseong-coex-kpop-detail,삼성동 COEX K-pop 스퀘어 패키지 상세,2안 패키지,30,35,80000000,,,,,,,"8,000만원 (1/2구좌_30초 35회)",False
samseong-coex-kpop-detail,삼성동 COEX K-pop 스퀘어 패키지 상세,3안 단독,30,35,60000000,,,,,,,"6,000만원 (1/2구좌_30초 35회) / 1억원(1구좌_30초 70회)",True
samseong-hyundai-department,삼성역 현대백화점 전광판,30초 70회,30,70,50000000,,,,,,,"1일 30초 70회 5,000만원/월",False
samseong-coex-media-tower-cmt,삼성역 코엑스 미디어타워 CMT,20초 70회 양면,20,70,30000000,15000000,,8500000,,4000000,,"3,000만원/월, 1,500만원/15일, 850만원/7일, 400만원/3일",False
samseong-coex-media-tower-cmt,삼성역 코엑스 미디어타워 CMT,30초 70회 양면,30,70,40000000,20000000,,11000000,,5000000,,"4,000만원/월, 2,000만원/15일, 1,100만원/7일, 500만원/3일",False
samseong-parnas-media-tower-pmt,삼성역 파르나스 미디어타워 PMT,20초 70회 양면,20,70,40000000,20000000,,11000000,,5000000,,"4,000만원/월, 2,000만원/15일, 1,100만원/7일, 500만원/3일",False
samseong-parnas-media-tower-pmt,삼성역 파르나스 미디어타워 PMT,30초 70회 양면,30,70,50000000,25000000,,13500000,,6000000,,"5,000만원/월, 2,500만원/15일, 1,350만원/7일, 600만원/3일",False
