,지도표시 매체명,회사명,매체 위치좌표,,지번주소,도로명주소,규격,입지특성,,키워드1,키워드2,키워드3,키워드4,키워드5,거리뷰좌표,해상도,계약정보
89,잠실 유토피아 전광판,㈜라이프스케이프,37.5153423,127.1072417,서울특별시 송파구 방이동 22 대우유토피아오피스텔,서울특별시 송파구 올림픽로  336 대우유토피아오피스텔,14.5m x 15.5m,"서울시 송파구 인구수 1위 총 65만8,006명 , 잠실역(롯데월드타워) 유동인구 및 교통량 최다. 관공서, 공공기관,  글로벌 기업오피스와 롯데캐슬,  롯데월드타워 등 고급 주거시설  및 VIP 6성급 호텔 등 혼합 밀집  ",06:00 - 24:00,롯데월드몰,송파구청,,,,"37.5153685,127.1060816,62.0940591948745,16.644043832922435,90",832 x 1008,"1일 20초 100회 - 1,000만원/월"
98,.청계광장 전광판,㈜라이프스케이프,37.5694511,126.9785841,서울특별시 종로구 서린동 151-5, 서울특별시 종로구 종로 10-7,12m x 18.5m ,"서울의 관광특구 청계광장! 대규모 서울 페스티벌, 국가 행사 및 축제·이벤트, 지자체 홍보 행사 등 다양하게 개최 초대형 세로형 LED 전광판,  다양한 분할 표출 방식으로 광고의 노출도 · 주목도 상승  브랜드고지! 콘텐츠 강조! 광고 노출도 향상! 주목도 강화 ",06:00 - 00:24,축제·이벤트,관광특구,,,,"37.5689904,126.9788962,-51.15749670133236,17.08379458159659,90",1200 x 1860,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월"
215,명동 을지한국빌딩,㈜라이프스케이프,37.5655771,126.9832704,서울특별시 중구 을지로2가 198 을지 한국빌딩,서울특별시 중구 을지로  50 을지 한국빌딩,20.3m x 11m,"국내 최대 상권이자 대표적인 관광특구, 서울 문화・금융의 중심지, 관광・쇼핑의 중심지",06:00 - 24:00,명동,교차로,관광특구,,,"37.5668853,126.9826288,135.11632650911477,-0.2699897816943601,90",1872 x 1008,"1일 20초 100회 - 1,200만원/월1일 30초 70회 - 1,200만원/월"
231,경복궁 적선빌딩 ,㈜라이프스케이프,37.5753767,126.9733437,서울특별시 종로구 적선동 80 적선현대빌딩,서울 종로구 사직로 130 (적선동),19m x 10m,"청와대 개방! k-관광 랜드마크 선포! 국내 최대 관광명소로서 외국관광객 1차 관광 포인트! 역사·문화·자연 복합 공간으로 전시·공연·탐방 확대! '청와대-경복궁-광화문광장-송현녹지광장’으로 이어지는 관광루트 형성. 금융, 경제, 언론, 문화, 쇼핑, 관광, 서비스, 관공서 등 대한민국 대표적인 복합산업지역 ",06:00 - 24:00,청와대,광화문,명품패션쇼,,,"37.575612,126.975385,-123.51615120274923,-0.8934707903780328,100",1120 x 608,"1일 20초 100회 - 700만원/월1일 30초 100회 - 1,000만원/월"
292,서울고속버스터미널,(주)애드웍스,37.50568,127.0058468,서울특별시 서초구 반포동 19-4 강남고속버스터미널,서울 서초구 신반포로 194 (반포동),20m x 11m ,"전국커버 가능한 위치 서울 고속버스터미너과 주변상권으로 인한 많은 유동인구 기업, 지자체(관공서),대학 홍보 등에 매우 용이",06:00 - 24:00,고속터미널,신세계백화점,,,,"37.5070142,127.0072657,-154.51701882775694,-2.3315368698768477,90",1920 x 1080,1일 20초 100회 이상 - 700만원/월
293,청계광장 청계한국 빌딩,(주)애드웍스,37.5694936,126.9788681,서울특별시 종로구 서린동 149 청계 한국빌딩,서울 종로구 청계천로 11 (서린동),13m x 17.3m (224.9㎡),"종로 청계 관광특구 지역 핵심. 청계광장을 중심으로 대규모 서울 페스티벌, 국가 행사 및 축제·이벤트 행사, 지자체 홍보 행사 등 다양하게 개최  ",06:00 - 24:00,축제·이벤트,,,,,"37.5689202,126.9799684,-434.8088592089346,12.784603689980182,90",1280 x 1710,"1일 20초 100회 이상 - 1,200만원/월1일 30초 100회 이상 - 1,500만원/월"
295,이대 중앙빌딩,(주)애드웍스,37.5564507,126.945216,서울특별시 마포구 대흥동 12-20,서울 마포구 신촌로 176 (대흥동),15m x 8m ,"이대역 주변은 젊은 유동인구 대학생 유동인구가 많은 곳으로, 특히 10대~20대 여성 타깃으로 집중 광고 할 수 있습니다. 또한, 관광객(유커)및 베트남,동남아 등 관광객들이 많은 지역이기도 합니다. ",06:00 - 24:00,신촌로터리,대학가,,,,"37.5568792,126.9461584,-151.22837173677866,7.5945885240635365,90",1920 x 1080,1일 20초 100회 이상 - 700만원/월
296,부산 금진빌딩,(주)애드웍스,35.107627,129.036072,부산광역시 중구 대창동1가 27-1,부산 중구 중앙대로 111 (대창동1가),12m x 8m,중앙동 번화가와 주변관광지로 연결되어 많은 유동인구와 유동차량 부산 항연안여객터미널 이동경로에 위치,06:00 - 22:00,여객터미널,관공서,중앙역,,,"35.107068,129.0360447,-385.37756725116213,4.084105832693502,90",1920 x 1080,1일 20초 100회 이상 - 500만원/월
297,제주 노형오거리,(주)애드웍스,33.4868039,126.4793043,제주특별자치도 제주시 노형동 1289-5,제주특별자치도 제주시 도령로 1 (노형동),12m x 7.5m ,"노형오거리 주변 면세점,롯데마트, 이마트, 영화관, 금융기관이 밀집되어 있는 중심 상권. 국내외 유동인구와 유동차량이 밀집된 지역",06:00 - 24:00,제주드림타워,CGV,이마트,,,"33.486182,126.4793428,-390.07283785086946,7.111897154000188,90",1920 x 1080,1일 20초 100회 이상 - 700만원/월
298,삼성역 루첸타워,(주)애드웍스,37.5070308,127.0586576,서울특별시 강남구 대치동 943 루첸타워,서울 강남구 테헤란로 510 (대치동),10.5m x 20m ,"영동대로와 테헤란로가 교차하는 구간에 위치하여 차량 및 유동인구 많은 지역. 비즈니스, 문화, 관광, 쇼핑, 전시와 컨벤션이 융합된 무역센터와 현대백화점이 위치함. 한류 문화중심지로서 외국인 관광객이 많은 국제 관광명소",06:00 - 24:00,현대백화점,테헤란로,,,,"37.5079829,127.0593956,-534.3817979122881,8.48504517692729,100",1024 x 1888,"1일 20초 100회 이상 - 1,200만원/월1일 30초 100회 이상 - 1,500만원/월"
299,홍대 스칼렛빌딩 전광판,(주)애드웍스,37.5556137,126.9226632,서울특별시 마포구 동교동 162-6 탑라인타워,서울 마포구 양화로 148 (동교동),12.8m x 16.6m ,"연희동, 연남동 차이나타운, 한류관광지 조성으로 외국인 대상으로 하는 글로벌 광고가능 대학 및 유흥가의 밀집지역 2030세대의 젊은 층이 주로 통",06:00 - 24:00,팬클럽광고,2030,홍대거리,,,"37.5562545,126.9225912,889.0863164908842,7.960303511302249,90",1560 x 2040,"1일 20초 100회 이상 - 1,200만원/월1일 30초 100회 이상 - 1,500만원/월"
300,분당 페퍼저축은행,(주)애드웍스,37.3859178,127.1228862,경기도 성남시 분당구 서현동 262-1 페퍼존 빌딩,경기 성남시 분당구 황새울로 340 (서현동),23.7m x 8.3m (193.4㎡),"평균 지하철 일일 유동인구 6만, 주말 유동인구 10만 명이 이용하는 분당권역에 위치 기존의 분당구청, 분당소방서, 교육청, 우체국 등이 매우 인접해 있어 중·장년층까지도 상당수 근처로 유입가능 ",06:30 - 22:30,AK프라자,서현역,수인분당선,,,"37.3857992,127.1221471,-663.851883801608,23.845902824812732,100",2304 x 800,"1일 20초 100회 이상 - 1,000만원/월"
301,서울역 부양빌딩 전광판,(주)애드웍스,37.5537979,126.9723464,서울특별시 용산구 동자동 43-73 부양빌딩,서울 용산구 한강대로 397 (동자동),10.8m x 19m ,전국과 서울을 연결해주는 국내 최대의 교통역사로 상징 KTX이용고객은 연 평균 3700만명으로 집계 일반 이용객은 연 평균 690만명으로 집계 ,06:00 - 24:00,KTX,버스환승센터,,,,"37.5550769,126.9724664,520.9922128577698,1.688713279021111,90",1056 x 1888,"1일 20초 100회 이상 - 1,200만원/월1일 30초 100회 이상 - 1,500만원/월"
302,김포 동아빌딩,주식회사  은진기획,37.5620589,126.8074545,서울특별시 강서구 방화동 621-24,서울 강서구 개화동로 565 (방화동),9.6m x 4.9m,김포공항 정문입구에 위치하고 있어 김포공항을 이용하는 이용객과 롯데몰을 이용하는 고객들에게 자연스러운 광고노출이 가능합니다.,06:00 - 24:00,김포공항,롯데대형몰,글로벌유동,,,"37.5618942,126.8068704,-315.2821774215737,4.535110353185194,100",1290 x 1080,1일 20초 100회 이상 - 700만원/월
